name,prompt,negative_prompt
Protogen53,"modelshoot style, analog style, mdjrny-v4 style",
Pulp,"sd-pulp, dime mystery, horror stories, startling mystery, terror tales, thrilling mystery, uncanny tales, vice squad detective, spicy adventure, dime detective, detective short stories,",
RealisticVision,"RAW photo, subject, (high detailed skin:1.2), 8k uhd, dslr, soft lighting, high quality, film grain, Fujifilm XT3","(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime), text, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, UnrealisticDream"
Protogen V22 Anime,modelshoot style,
Protogen Infinity,"modelshoot style, mdjrny-v4 style, nousr robot, nvinkpunk, snthwve style, charliebo artstyle, holliemengert artstyle, marioalberti artstyle, pepelarraz artstyle, andreasrocha artstyle, jamesdaly artstyle, elden ring style, postapocalypse, knollingcase, swpunk, synthwave, cyborgdiffusion",
COLOR01_max_prompt,"COLR_001,(SUBJECT), coloring book illustration, black and white, vector line art, no shades, black lines only, (((white background))), coloring book, line art, high resolution, black and white, colorless","nfixer, ((watermark)), (text), color, shading, gradient, shadows, transparency, noisy, blurred"
