name,prompt,negative_prompt
 Bubble Anime 2D,"bubble,on the bubble,<lora:Bubble_Sora:0.7>,","(worst quality:1.5), (low quality:1.5), (normal quality:1.5), lowres, bad anatomy, bad hands, vaginas in breasts, ((monochrome)), ((grayscale)), collapsed eyeshadow, multiple eyebrow, (cropped), oversaturated, extra limb, missing limbs, deformed hands, long neck, long body, imperfect, (bad hands), signature, watermark, username, artist name, conjoined fingers, deformed fingers, ugly eyes, imperfect eyes, skewed eyes, unnatural face, unnatural body, error, painting by bad-artis"
Portrait 3DMM Render LORA,"3dmm style,  <lora:3DMM_V11:1>","(worst quality:1.5),(low quality:1.5),(normal quality:1.5),lowres,bad anatomy,bad hands,vaginas in breasts,((monochrome)),((grayscale)),collapsed eyeshadow,multiple eyebrow,(cropped),oversaturated,extra limb,missing limbs,deformed hands,long neck,long body,imperfect,(bad hands),signature,watermark,username,artist name,conjoined fingers,deformed fingers,ugly eyes,imperfect eyes,skewed eyes,unnatural face,unnatural body,error,painting by bad-artist,"
(0mib) Type of Vector Art,"(subject) in the style of 0mib,<lora:0mibNEW:1>,","glass, pedestal, socle, basement, camera, subsurface, underwater, hypermaximalist, diamond, (flowers), water, (leaves), (woman:2), (1girl:2), human, (worst quality:2), (low quality:2), (normal quality:2), border, frame, poorly drawn, childish, hands, hand, ((dof))"
Bubble Photorealistic,"bubble,on the bubble,<lora:Bubble_Sora:0.7>,","illustration, 3d, 2d,  painting, cartoons, sketch, (worst quality:1.9), (low quality:1.9), (normal quality:1.9), lowres, bad anatomy, bad hands, vaginas in breasts, ((monochrome)), ((grayscale)), collapsed eyeshadow, multiple eyebrow, (cropped), oversaturated, extra limb, missing limbs, deformed hands, long neck, long body, imperfect, (bad hands), signature, watermark, username, artist name, conjoined fingers, deformed fingers, ugly eyes, imperfect eyes, skewed eyes, unnatural face, unnatural body, error, bad image, bad photo"
