name,prompt,negative_prompt
Forest impossible bottle,"An intricate jungle minitown landscape trapped in a wide bottle,atmospheric oliva lighting,on the table,4k UHD,dark vibes,hyper detailed,vibrant colours forest background,epic composition,octane render,sharp focus,high resolution isometric,","semi-realistic,cgi,sketch,cartoon,drawing,( out of frame:1.1),worst quality,low quality,jpeg artifacts,poorly drawn,"
Terrarium,"spherical Terrarium, abstract dream, flower, brushes, ivy, foliage, wild, orb, fantasy, complex, gemstone, highly detailed, intricate, elaborate, octane render, 4k HDR, colorful, fractal, black background, eco system, glowing, reflection, crepuscular rays, luminescence","monotone, boring, watermark, text, overexposed, simple, minimalist"
Silhouette wallpapers,"Multiple layers of silhouette {object1}, with silhouette of {object2}, sharp edges, at sunset, with heavy fog in air, vector style, horizon silhouette Landscape wallpaper by Alena Aenami, firewatch game style, vector style background",
Chinese landscape,"(Chinese landscape), (Zen, Amy Sol style), (summer, big green trees, cicadas, sunshine), cover art with light abstraction, abstract, simple vector art, contemporary Chinese art, color gradients, soft color palettes, layered forms, whimsical animation, style Ethereal abstract, 4K",duplicate
Galaxy Bottle,glass bottle sitting on top of a table| a photorealistic painting| pexels| conceptual art| stars and galaxies| highly detailed perfect render| light effect| modern fantasy| glittering multiversal ornaments| universe in a grain of sand| photo manipulation| beautiful composition,"nfixer, nrealfixer,"
