name,prompt,negative_prompt
NegDreamshaper,,BadDream  UnrealisticDream
NegPhoton,,"cartoon, painting, illustration, (worst quality, low quality, normal quality:2)"
Epic,,"asian, chinese, lowres, text, error, cropped, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, username, watermark, signature"
Dreamshaper,,"BadDream, UnrealisticDream"
Photon,,"cartoon, painting, illustration, (worst quality, low quality, normal quality:2)"
RealisticVision,,"(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime:1.4),text,close up,cropped,out of frame,worst quality,low quality,jpeg artifacts,ugly,duplicate,morbid,mutilated,extra fingers,mutated hands,poorly drawn hands,poorly drawn face,mutation,deformed,blurry,dehydrated,bad anatomy,bad proportions,extra limbs,cloned face,disfigured,gross proportions,malformed limbs,missing arms,missing legs,extra arms,extra legs,fused fingers,too many fingers,long neck,"
RevAnimated,,"(deformed iris, deformed pupils, bad eyes, semi-realistic:1.4) (bad-image-v2-39000, bad_prompt_version2, bad-hands-5, EasyNegative, NG_DeepNegative_V1_4T, bad-artist-anime:0.7),(worst quality, low quality:1.3),(depth of field, blurry:1.2),(greyscale, monochrome:1.1),nose,cropped,lowres,text,jpeg artifacts,signature,watermark,username,blurry,artist name,trademark,watermark,title,(tan, muscular, loli, petite, child, infant, toddlers, chibi, sd character:1.1),multiple view,Reference sheet,long neck,"
RunFX,,"plain background, boring, plain, standard, homogenous, uncreative, unattractive, opaque, grayscale, monochrome, distorted details, low details, grains, grainy, foggy, dark, blurry, portrait, oversaturated, low contrast, underexposed, overexposed, low-res, low quality, close-up, macro, surreal, multiple views, multiple angles"
Illuminutty_fixers,,"illuminutty_nartfixer, illuminutty_nfixer, illuminutty_nrealfixer"
